cause,sex,age,year,deaths
001-008  I.Infectious and parasitic diseases (1),Males,0,2021,11.890547263681592
001-008  I.Infectious and parasitic diseases (1),Males,0,2020,17.714285714285715
001-008  I.Infectious and parasitic diseases (1),Males,0,2019,9.185185185185185
001-008  I.Infectious and parasitic diseases (1),Males,0,2018,17.5
001-008  I.Infectious and parasitic diseases (1),Males,0,2017,15.930147058823529
001-008  I.Infectious and parasitic diseases (1),Males,0,2016,15.642857142857142
001-008  I.Infectious and parasitic diseases (1),Males,0,2015,18.925373134328357
001-008  I.Infectious and parasitic diseases (1),Males,0,2014,27.389558232931726
001-008  I.Infectious and parasitic diseases (1),Males,0,2013,20.617886178861788
001-008  I.Infectious and parasitic diseases (1),Males,0,2012,32.851063829787236
001-008  I.Infectious and parasitic diseases (1),Males,0,2011,26.67391304347826
001-008  I.Infectious and parasitic diseases (1),Males,0,2010,18.74436090225564
001-008  I.Infectious and parasitic diseases (1),Males,0,2009,43.68041237113402
001-008  I.Infectious and parasitic diseases (1),Males,0,2008,36.629629629629626
001-008  I.Infectious and parasitic diseases (1),Males,0,2007,24.319905213270143
001-008  I.Infectious and parasitic diseases (1),Males,0,2006,56.896995708154506
001-008  I.Infectious and parasitic diseases (1),Males,0,2005,46.1319587628866
001-008  I.Infectious and parasitic diseases (1),Males,0,2004,34.90295358649789
001-008  I.Infectious and parasitic diseases (1),Males,0,2003,29.937888198757765
001-008  I.Infectious and parasitic diseases (1),Males,0,2002,14.759574468085106
001-008  I.Infectious and parasitic diseases (1),Males,0,2001,22.388520971302427
001-008  I.Infectious and parasitic diseases (1),Males,0,2000,38.28343313373254
001-008  I.Infectious and parasitic diseases (1),Males,0,1999,27.5390625
001-008  I.Infectious and parasitic diseases (1),Males,0,1998,45.36267605633803
001-008  I.Infectious and parasitic diseases (1),Males,0,1997,32.78125
001-008  I.Infectious and parasitic diseases (1),Males,0,1996,24.081632653061224
001-008  I.Infectious and parasitic diseases (1),Males,0,1995,37.138263665594856
001-008  I.Infectious and parasitic diseases (1),Males,0,1994,63.48525469168901
001-008  I.Infectious and parasitic diseases (1),Males,0,1993,71.14384349827388
001-008  I.Infectious and parasitic diseases (1),Males,0,1992,44.2714126807564
001-008  I.Infectious and parasitic diseases (1),Males,0,1991,76.04705882352941
001-008  I.Infectious and parasitic diseases (1),Males,0,1990,75.8146551724138
001-008  I.Infectious and parasitic diseases (1),Males,0,1989,104.79690522243713
001-008  I.Infectious and parasitic diseases (1),Males,0,1988,99.63509991311902
001-008  I.Infectious and parasitic diseases (1),Males,0,1987,112.69021739130434
001-008  I.Infectious and parasitic diseases (1),Males,0,1986,140.22060957910014
001-008  I.Infectious and parasitic diseases (1),Males,0,1985,135.48042704626334
001-008  I.Infectious and parasitic diseases (1),Males,0,1984,195.2896691424713
001-008  I.Infectious and parasitic diseases (1),Males,0,1983,182.1605504587156
001-008  I.Infectious and parasitic diseases (1),Males,0,1982,221.07184241019698
001-008  I.Infectious and parasitic diseases (1),Males,0,1981,308.62314540059344
001-008  I.Infectious and parasitic diseases (1),Males,0,1980,407.1179673321234
001-008  I.Infectious and parasitic diseases (1),Males,1,2021,3
001-008  I.Infectious and parasitic diseases (1),Males,1,2020,2.034782608695652
001-008  I.Infectious and parasitic diseases (1),Males,1,2019,7
001-008  I.Infectious and parasitic diseases (1),Males,1,2018,6.170212765957447
