cause,sex,age,2020,2019,contrib
001-008  I.Infectious and parasitic diseases (1),Females,0,1.180362600999893e-4,2.658537126621666e-5,-0.007781167191595273
001-008  I.Infectious and parasitic diseases (1),Females,1,1.0040364996916382e-5,1.4562563821172615e-5,0.001489649216935618
001-008  I.Infectious and parasitic diseases (1),Females,5,9.049452174501076e-7,3.527207449637259e-6,0.0010209157535996383
001-008  I.Infectious and parasitic diseases (1),Females,10,2.4438258117478157e-6,8.201830123571702e-7,-5.916676724240233e-4
001-008  I.Infectious and parasitic diseases (1),Females,15,4.305977562711683e-6,2.6232286041297753e-6,-5.712884787953953e-4
001-008  I.Infectious and parasitic diseases (1),Females,20,7.053736412748362e-6,5.368141094603674e-6,-5.302900052726045e-4
001-008  I.Infectious and parasitic diseases (1),Females,25,1.3625446049339213e-5,1.6111653902004511e-6,-0.0034808012657236986
001-008  I.Infectious and parasitic diseases (1),Females,30,2.412891142944792e-5,3.5867157689960717e-6,-0.005440940490814228
001-008  I.Infectious and parasitic diseases (1),Females,35,2.954530945560815e-5,5.3474065968790945e-6,-0.005808545925233943
001-008  I.Infectious and parasitic diseases (1),Females,40,3.863132020726155e-5,1.2785414573746831e-5,-0.005563833213827252
001-008  I.Infectious and parasitic diseases (1),Females,45,8.640660765851095e-5,1.8403607019646902e-5,-0.012959583640522965
001-008  I.Infectious and parasitic diseases (1),Females,50,1.4969542584071445e-4,2.8433775553190777e-5,-0.0201309615904961
001-008  I.Infectious and parasitic diseases (1),Females,55,2.8714283336445925e-4,3.864887264128819e-5,-0.035206326388674825
001-008  I.Infectious and parasitic diseases (1),Females,60,4.655413830803395e-4,4.4826678006099805e-5,-0.04952045246463399
001-008  I.Infectious and parasitic diseases (1),Females,65,8.269995384251461e-4,7.525106326420876e-5,-0.07086221520830804
001-008  I.Infectious and parasitic diseases (1),Females,70,0.00165560825386044,1.294703878272269e-4,-0.10923799234309683
001-008  I.Infectious and parasitic diseases (1),Females,75,0.00346212906588528,3.100400957638185e-4,-0.15785626744117565
001-008  I.Infectious and parasitic diseases (1),Females,80,0.00783509219902071,6.521941158039576e-4,-0.22045118826630983
001-008  I.Infectious and parasitic diseases (1),Females,85,0.01652418155493086,0.00127722293170059,-0.23095034280969173
001-008  I.Infectious and parasitic diseases (1),Females,90,0.03111893902481409,0.00212936198565114,-0.14718591675027426
001-008  I.Infectious and parasitic diseases (1),Females,95,0.05272510681339851,0.00334295312308819,0
001-008  I.Infectious and parasitic diseases (1),Males,0,9.830347233232916e-5,4.944465478360087e-5,-0.0038939846576226955
001-008  I.Infectious and parasitic diseases (1),Males,1,3.1695475954161035e-6,1.0583208502644453e-5,0.002283126166972238
001-008  I.Infectious and parasitic diseases (1),Males,5,2.516150418796551e-6,1.677887175825167e-6,-3.038991139447944e-4
001-008  I.Infectious and parasitic diseases (1),Males,10,3.852405175640677e-6,1.5508410166201998e-6,-7.770829765405551e-4
001-008  I.Infectious and parasitic diseases (1),Males,15,8.095017102034185e-6,3.2996483332299216e-6,-0.0014997150665152503
001-008  I.Infectious and parasitic diseases (1),Males,20,9.859763360840366e-6,3.398200968266135e-6,-0.0018601409439895633
001-008  I.Infectious and parasitic diseases (1),Males,25,3.354095201541462e-5,8.631759069665511e-6,-0.006552579440608497
001-008  I.Infectious and parasitic diseases (1),Males,30,3.335523569752851e-5,8.641058779718359e-6,-0.005889230024465064
001-008  I.Infectious and parasitic diseases (1),Males,35,6.124380975327917e-5,1.3090376101523475e-5,-0.010285553594059138
001-008  I.Infectious and parasitic diseases (1),Males,40,8.372430796828874e-5,2.6454144124612236e-5,-0.010823963820868698
001-008  I.Infectious and parasitic diseases (1),Males,45,1.8855466961106347e-4,4.590524435346173e-5,-0.023470399658648944
001-008  I.Infectious and parasitic diseases (1),Males,50,3.732873443363216e-4,9.999789579093176e-5,-0.03834531161001564
001-008  I.Infectious and parasitic diseases (1),Males,55,6.60880377108426e-4,1.1454429339809044e-4,-0.06366938296649494
001-008  I.Infectious and parasitic diseases (1),Males,60,0.00127596167785195,1.311798236159391e-4,-0.10703414980282844
001-008  I.Infectious and parasitic diseases (1),Males,65,0.00225588000546278,1.6146448562253117e-4,-0.1499185642198313
001-008  I.Infectious and parasitic diseases (1),Males,70,0.00400080397311645,2.5547761933701136e-4,-0.19206983229182129
001-008  I.Infectious and parasitic diseases (1),Males,75,0.00760654867360227,4.175618857331464e-4,-0.23921807779404958
001-008  I.Infectious and parasitic diseases (1),Males,80,0.01444718892960451,8.997967412092065e-4,-0.2508726056789925
001-008  I.Infectious and parasitic diseases (1),Males,85,0.02570583607910904,0.0016656748815451,-0.19546397558897866
001-008  I.Infectious and parasitic diseases (1),Males,90,0.04252352750412095,0.00267396252136599,-0.09610382280079932
001-008  I.Infectious and parasitic diseases (1),Males,95,0.06247690670546944,0.00359060331129667,0
009-041  II.Tumours,Females,0,3.934542003332976e-5,6.646342816554165e-5,0.002307355979496606
009-041  II.Tumours,Females,1,3.0121094990749145e-5,3.236125293593915e-5,7.379263182798468e-4
009-041  II.Tumours,Females,5,2.8053301740953333e-5,2.557225400987013e-5,-9.659372289547719e-4
009-041  II.Tumours,Females,10,2.0365215097898463e-5,2.2144941333643595e-5,6.485456528935174e-4
009-041  II.Tumours,Females,15,3.703140703932047e-5,2.4483466971877903e-5,-0.004259989915198048
009-041  II.Tumours,Females,20,3.526868206374182e-5,2.952477602032021e-5,-0.0018070386963131568
009-041  II.Tumours,Females,25,4.247933180088107e-5,4.5112630925612635e-5,7.629246549072377e-4
009-041  II.Tumours,Females,30,1.082145118654028e-4,9.755866891669316e-5,-0.0028223763575141447
009-041  II.Tumours,Females,35,1.7665632945332378e-4,1.7824688656263647e-4,3.818026739565994e-4
009-041  II.Tumours,Females,40,3.275935953575779e-4,3.1758969801187124e-4,-0.0021535332175517397
009-041  II.Tumours,Females,45,5.774237972868156e-4,6.157321091430436e-4,0.007300556842494643
009-041  II.Tumours,Females,50,0.00101912212012573,0.00106900060012476,0.008280456043848972
009-041  II.Tumours,Females,55,0.00168747172173174,0.00173028029824844,0.006065067788156853
009-041  II.Tumours,Females,60,0.00246409086988157,0.00248584305306553,0.0025603525135835525
