year,sex,e0
1981,Females,78.63013107043392
1981,Males,72.42696566898051
1982,Females,79.19092386042587
1982,Males,73.05780992770438
1983,Females,78.94171192114972
1983,Males,72.79996572225298
1984,Females,79.4604213479179
1984,Males,73.03407988464569
1985,Females,79.48159415603261
1985,Males,72.96003026044951
1986,Females,79.67575219359199
1986,Males,73.2329449085491
1987,Females,80.00693692359839
1987,Males,73.37293158086528
1988,Females,80.0604479712247
1988,Males,73.3512639231942
1989,Females,80.2575955395651
1989,Males,73.2500076064369
1990,Females,80.32703397899462
1990,Males,73.23094657713955
1991,Females,80.51429176793285
1991,Males,73.310028462172
1992,Females,81.01338585168068
1992,Males,73.71114335159864
1993,Females,81.08978989206533
1993,Males,73.922624688276
1994,Females,81.44771427076188
1994,Males,74.25968493388942
1995,Females,81.57564050003928
1995,Males,74.3108912497079
1996,Females,81.73809859866367
1996,Males,74.44640258586757
1997,Females,82.073207822032
1997,Males,75.08047199302558
1998,Females,82.14808790693294
1998,Males,75.19139528053404
1999,Females,82.13183225721976
1999,Males,75.18175035724063
2000,Females,82.53319042668822
2000,Males,75.67554837821848
2001,Females,82.8504520287038
2001,Males,76.00974712112132
2002,Females,82.92318322573414
2002,Males,76.1377541751404
2003,Females,82.81619867802627
2003,Males,76.20114610762737
2004,Females,83.36996375290327
2004,Males,76.75322495237647
2005,Females,83.35405813196145
2005,Males,76.80007421917266
2006,Females,83.95645383330117
2006,Males,77.51598923389541
2007,Females,83.93672719882329
2007,Males,77.587195751728
2008,Females,84.14452551595144
2008,Males,78.03133811127817
2009,Females,84.4337637435519
2009,Males,78.43864031127504
2010,Females,84.78974933929516
2010,Males,78.85315003185434
2011,Females,84.88895810530181
2011,Males,79.11171056478005
2012,Females,84.87225707605643
2012,Males,79.18746543571865
2013,Females,85.28061947275434
2013,Males,79.74090084538166
2014,Females,85.34616707411357
2014,Males,79.89271986290686
2015,Females,85.14343630819499
2015,Males,79.70658361247827
2016,Females,85.53278874463048
2016,Males,80.06907239199802
2017,Females,85.43998346209828
2017,Males,80.12891439848732
2018,Females,85.54963675629615
2018,Males,80.20203800865896
2019,Females,85.87340165027396
2019,Males,80.57983605396143
2020,Females,84.83878987096229
2020,Males,79.4143687607203
2021,Females,85.54850756165123
2021,Males,80.06145271848864
