cause,sex,age,year,deaths,pop,mxc
001-008  I.Infectious and parasitic diseases (1),Males,0,2021,11.890547263681592,170071,6.99151957928253e-5
001-008  I.Infectious and parasitic diseases (1),Males,0,2020,17.714285714285715,180200,9.830347233232916e-5
001-008  I.Infectious and parasitic diseases (1),Males,0,2019,9.185185185185183,185767,4.944465478360087e-5
001-008  I.Infectious and parasitic diseases (1),Males,0,2018,17.5,194539,8.995625555801151e-5
001-008  I.Infectious and parasitic diseases (1),Males,0,2017,15.930147058823527,203725.455757,7.819419031181217e-5
001-008  I.Infectious and parasitic diseases (1),Males,0,2016,15.642857142857142,211057.980913,7.411639718710883e-5
001-008  I.Infectious and parasitic diseases (1),Males,0,2015,18.925373134328357,215729.078627,8.772750180355015e-5
001-008  I.Infectious and parasitic diseases (1),Males,0,2014,27.389558232931726,216744.196159,1.2636812758224535e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,2013,20.617886178861788,223136.328333,9.240040083519011e-5
001-008  I.Infectious and parasitic diseases (1),Males,0,2012,32.851063829787236,238156.17449599996,1.3793916491692304e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,2011,26.67391304347826,244985.736132,1.0887945341073317e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,2010,18.74436090225564,247827.121258,7.563482482105683e-5
001-008  I.Infectious and parasitic diseases (1),Males,0,2009,43.68041237113402,260611.94941799995,1.6760709732873476e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,2008,36.629629629629626,259819.412531,1.4098111173759662e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,2007,24.319905213270143,249251.370056,9.757180154237917e-5
001-008  I.Infectious and parasitic diseases (1),Males,0,2006,56.896995708154506,243304.65355,2.338508321891261e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,2005,46.1319587628866,235216.07025500003,1.961258799744188e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,2004,34.90295358649789,228308.720583,1.5287612973070456e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,2003,29.937888198757765,221477.148496,1.351737116088907e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,2002,14.759574468085106,210071.64838400003,7.025971653778511e-5
001-008  I.Infectious and parasitic diseases (1),Males,0,2001,22.388520971302427,204944.000018,1.0924213916648484e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,2000,38.28343313373254,198117.235302,1.9323625769042854e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,1999,27.5390625,189974.21485100003,1.4496210720807217e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,1998,45.36267605633803,188065.14019,2.4120725409562162e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,1997,32.78125,187628.557651,1.7471354259928292e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,1996,24.081632653061224,185846.046005,1.2957839658538298e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,1995,37.138263665594856,187672.00909299997,1.978891995939105e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,1994,63.48525469168901,195406.492184,3.248881548516289e-4
001-008  I.Infectious and parasitic diseases (1),Males,0,1993,71.14384349827388,201547.190616,3.529885149023063e-4
