Valores simples de edad	Sexo	Periodo	Total
Total	Ambos sexos	1 de julio de 2022	47.615.034
Total	Ambos sexos	1 de enero de 2022	47.432.893
Total	Ambos sexos	1 de julio de 2021	47.331.302
Total	Ambos sexos	1 de enero de 2021	47.398.695
Total	Ambos sexos	1 de julio de 2020	47.355.685
Total	Ambos sexos	1 de enero de 2020	47.332.614
Total	Ambos sexos	1 de julio de 2019	47.105.358
Total	Ambos sexos	1 de enero de 2019	46.937.060
Total	Ambos sexos	1 de julio de 2018	46.728.814
Total	Ambos sexos	1 de enero de 2018	46.658.447
Total	Ambos sexos	1 de julio de 2017	46.532.869
Total	Ambos sexos	1 de enero de 2017	46.527.039
Total	Ambos sexos	1 de julio de 2016	46.449.874
Total	Ambos sexos	1 de enero de 2016	46.440.099
Total	Ambos sexos	1 de julio de 2015	46.410.149
Total	Ambos sexos	1 de enero de 2015	46.449.565
Total	Ambos sexos	1 de julio de 2014	46.455.123
Total	Ambos sexos	1 de enero de 2014	46.512.199
Total	Ambos sexos	1 de julio de 2013	46.593.236
Total	Ambos sexos	1 de enero de 2013	46.727.890
Total	Ambos sexos	1 de julio de 2012	46.766.403
Total	Ambos sexos	1 de enero de 2012	46.818.216
Total	Ambos sexos	1 de julio de 2011	46.736.257
Total	Ambos sexos	1 de enero de 2011	46.667.175
Total	Ambos sexos	1 de julio de 2010	46.562.483
Total	Ambos sexos	1 de enero de 2010	46.486.621
Total	Ambos sexos	1 de julio de 2009	46.367.550
Total	Ambos sexos	1 de enero de 2009	46.239.271
Total	Ambos sexos	1 de julio de 2008	45.983.169
Total	Ambos sexos	1 de enero de 2008	45.668.938
Total	Ambos sexos	1 de julio de 2007	45.236.004
Total	Ambos sexos	1 de enero de 2007	44.784.659
Total	Ambos sexos	1 de julio de 2006	44.360.521
Total	Ambos sexos	1 de enero de 2006	44.009.969
Total	Ambos sexos	1 de julio de 2005	43.662.613
Total	Ambos sexos	1 de enero de 2005	43.296.335
Total	Ambos sexos	1 de julio de 2004	42.859.172
Total	Ambos sexos	1 de enero de 2004	42.547.454
Total	Ambos sexos	1 de julio de 2003	42.196.231
Total	Ambos sexos	1 de enero de 2003	41.827.836
Total	Ambos sexos	1 de julio de 2002	41.423.520
Total	Ambos sexos	1 de enero de 2002	41.035.271
Total	Ambos sexos	1 de julio de 2001	40.766.049
Total	Ambos sexos	1 de enero de 2001	40.665.545
Total	Ambos sexos	1 de julio de 2000	40.554.387
Total	Ambos sexos	1 de enero de 2000	40.470.182
Total	Ambos sexos	1 de julio de 1999	40.369.667
Total	Ambos sexos	1 de enero de 1999	40.303.568
Total	Ambos sexos	1 de julio de 1998	40.214.066
Total	Ambos sexos	1 de enero de 1998	40.143.449
Total	Ambos sexos	1 de julio de 1997	40.049.974
Total	Ambos sexos	1 de enero de 1997	39.971.329
Total	Ambos sexos	1 de julio de 1996	39.884.246
Total	Ambos sexos	1 de enero de 1996	39.808.374
Total	Ambos sexos	1 de julio de 1995	39.718.895
Total	Ambos sexos	1 de enero de 1995	39.639.726
Total	Ambos sexos	1 de julio de 1994	39.547.353
Total	Ambos sexos	1 de enero de 1994	39.458.489
Total	Ambos sexos	1 de julio de 1993	39.356.082
Total	Ambos sexos	1 de enero de 1993	39.264.034
Total	Ambos sexos	1 de julio de 1992	39.147.940
Total	Ambos sexos	1 de enero de 1992	39.051.336
Total	Ambos sexos	1 de julio de 1991	38.941.622
Total	Ambos sexos	1 de enero de 1991	38.881.416
Total	Ambos sexos	1 de julio de 1990	38.860.827
Total	Ambos sexos	1 de enero de 1990	38.853.227
Total	Ambos sexos	1 de julio de 1989	38.821.377
Total	Ambos sexos	1 de enero de 1989	38.802.300
Total	Ambos sexos	1 de julio de 1988	38.764.307
Total	Ambos sexos	1 de enero de 1988	38.731.578
Total	Ambos sexos	1 de julio de 1987	38.682.322
Total	Ambos sexos	1 de enero de 1987	38.638.052
Total	Ambos sexos	1 de julio de 1986	38.571.941
Total	Ambos sexos	1 de enero de 1986	38.531.195
Total	Ambos sexos	1 de julio de 1985	38.467.025
Total	Ambos sexos	1 de enero de 1985	38.407.829
Total	Ambos sexos	1 de julio de 1984	38.325.244
Total	Ambos sexos	1 de enero de 1984	38.252.899
Total	Ambos sexos	1 de julio de 1983	38.160.263
Total	Ambos sexos	1 de enero de 1983	38.090.151
Total	Ambos sexos	1 de julio de 1982	37.987.108
Total	Ambos sexos	1 de enero de 1982	37.881.873
Total	Ambos sexos	1 de julio de 1981	37.764.458
Total	Ambos sexos	1 de enero de 1981	37.635.389
Total	Ambos sexos	1 de julio de 1980	37.493.072
Total	Ambos sexos	1 de enero de 1980	37.346.940
Total	Ambos sexos	1 de julio de 1979	37.194.315
Total	Ambos sexos	1 de enero de 1979	37.035.719
Total	Ambos sexos	1 de julio de 1978	36.868.100
Total	Ambos sexos	1 de enero de 1978	36.694.077
Total	Ambos sexos	1 de julio de 1977	36.506.811
Total	Ambos sexos	1 de enero de 1977	36.329.199
Total	Ambos sexos	1 de julio de 1976	36.127.525
Total	Ambos sexos	1 de enero de 1976	35.946.425
Total	Ambos sexos	1 de julio de 1975	35.750.033
Total	Ambos sexos	1 de enero de 1975	35.569.375
Total	Ambos sexos	1 de julio de 1974	35.363.890
Total	Ambos sexos	1 de enero de 1974	35.177.294
Total	Ambos sexos	1 de julio de 1973	34.980.317
Total	Ambos sexos	1 de enero de 1973	34.800.600
Total	Ambos sexos	1 de julio de 1972	34.595.886
Total	Ambos sexos	1 de enero de 1972	34.408.338
Total	Ambos sexos	1 de julio de 1971	34.216.856
Total	Ambos sexos	1 de enero de 1971	34.040.642
Total	Hombres	1 de julio de 2022	23.310.627
Total	Hombres	1 de enero de 2022	23.237.152
Total	Hombres	1 de julio de 2021	23.191.275
Total	Hombres	1 de enero de 2021	23.227.282
Total	Hombres	1 de julio de 2020	23.208.782
Total	Hombres	1 de enero de 2020	23.199.313
Total	Hombres	1 de julio de 2019	23.091.898
Total	Hombres	1 de enero de 2019	23.009.259
Total	Hombres	1 de julio de 2018	22.911.649
Total	Hombres	1 de enero de 2018	22.881.882
Total	Hombres	1 de julio de 2017	22.829.748
