year,sex,age,pop
1981,Females,0,278386.126485
1981,Females,1,911114.442983
1981,Females,5,1604586.2358269999
1981,Females,10,1603528.233544
1981,Females,15,1606866.7809140002
1981,Females,20,1473235.821522
1981,Females,25,1268956.170489
1981,Females,30,1226589.384306
1981,Females,35,1133824.432654
1981,Females,40,1017556.3985370001
1981,Females,45,1198487.02498
1981,Females,50,1155955.800889
1981,Females,55,1062037.891433
1981,Females,60,880776.004724
1981,Females,65,813172.8456029999
1981,Females,70,706084.854202
1981,Females,75,523389.85784699995
1981,Females,80,301402.358022
1981,Females,85,131214.530195
1981,Females,90,41922.21871
1981,Females,95,10951.515811000001
1981,Males,0,296547.497095
1981,Males,1,968189.3974520001
1981,Males,5,1704269.472207
1981,Males,10,1690987.09749
1981,Males,15,1677808.73979
1981,Males,20,1494005.8469449999
1981,Males,25,1289446.76787
1981,Males,30,1234947.125844
1981,Males,35,1138082.73871
1981,Males,40,1003351.793393
1981,Males,45,1167164.637928
1981,Males,50,1110244.7218209999
1981,Males,55,991569.397461
1981,Males,60,736753.5089789999
1981,Males,65,629383.6995549999
1981,Males,70,513989.01682699996
1981,Males,75,339084.502467
1981,Males,80,166143.417783
1981,Males,85,62423.349138000005
1981,Males,90,16948.079262
1981,Males,95,3674.3513
1982,Females,0,255345.455669
1982,Females,1,879931.572289
1982,Females,5,1601550.570231
1982,Females,10,1596638.485666
1982,Females,15,1620697.869383
1982,Females,20,1498838.305277
1982,Females,25,1299483.003694
1982,Females,30,1234079.709804
1982,Females,35,1172835.950215
1982,Females,40,983807.2347830001
1982,Females,45,1184188.985902
1982,Females,50,1170569.00682
1982,Females,55,1075759.778494
1982,Females,60,914132.802651
1982,Females,65,810285.897324
1982,Females,70,719526.572744
1982,Females,75,540392.859086
1982,Females,80,319774.54487700004
1982,Females,85,138720.19339
1982,Females,90,44299.317554
1982,Females,95,11398.435827000001
1982,Males,0,276140.787256
1982,Males,1,933187.8969810001
1982,Males,5,1698409.420776
1982,Males,10,1685005.402293
1982,Males,15,1694826.820904
1982,Males,20,1524800.725014
1982,Males,25,1319617.969548
1982,Males,30,1244812.065655
1982,Males,35,1174494.306652
1982,Males,40,978307.587969
1982,Males,45,1147502.227113
1982,Males,50,1126877.79419
1982,Males,55,1005320.008796
1982,Males,60,783539.7731349999
1982,Males,65,624086.733631
1982,Males,70,522961.452662
1982,Males,75,349984.873783
1982,Males,80,178085.938066
1982,Males,85,66251.011533
1982,Males,90,17882.329468
1982,Males,95,3869.270354
1983,Females,0,239257.441203
1983,Females,1,846138.480577
1983,Females,5,1588507.07376
1983,Females,10,1597556.058605
1983,Females,15,1622574.496866
1983,Females,20,1518695.1049999997
1983,Females,25,1335732.1672490002
1983,Females,30,1231603.945006
1983,Females,35,1204526.5074139999
1983,Females,40,1003365.5559370001
1983,Females,45,1134163.112003
1983,Females,50,1185527.841002
1983,Females,55,1088096.690091
1983,Females,60,949624.9965750001
1983,Females,65,808586.2943439999
1983,Females,70,730046.447727
1983,Females,75,553355.560522
1983,Females,80,337973.993301
1983,Females,85,143214.129193
1983,Females,90,45279.806038
1983,Females,95,11508.077922
1983,Males,0,256925.900756
1983,Males,1,897249.8066120001
1983,Males,5,1682838.300959
1983,Males,10,1687403.7505410002
1983,Males,15,1697764.806827
1983,Males,20,1549606.913345
1983,Males,25,1356226.435421
1983,Males,30,1245546.905489
1983,Males,35,1204886.185109
1983,Males,40,1000178.3942539999
1983,Males,45,1098815.5678949999
1983,Males,50,1142725.7957219998
1983,Males,55,1018083.7460180001
1983,Males,60,830806.179067
1983,Males,65,620595.6591119999
1983,Males,70,527344.383723
1983,Males,75,359390.383044
1983,Males,80,189250.474682
1983,Males,85,68132.908283
1983,Males,90,18047.163019
1983,Males,95,4029.975046
1984,Females,0,229544.64192000002
1984,Females,1,806969.985533
1984,Females,5,1564343.077359
1984,Females,10,1603647.6411020001
1984,Females,15,1611260.239566
1984,Females,20,1543187.9220619998
1984,Females,25,1376723.589961
1984,Females,30,1226763.242131
1984,Females,35,1223431.447808
1984,Females,40,1062121.7668289999
1984,Females,45,1066324.538996
1984,Females,50,1190152.89884
1984,Females,55,1104122.191803
1984,Females,60,985046.678327
1984,Females,65,808155.9907719999
1984,Females,70,739399.109467
1984,Females,75,568042.179061
1984,Females,80,358272.084934
1984,Females,85,148863.572909
1984,Females,90,46837.782223
1984,Females,95,12128.783742
1984,Males,0,247075.393938
1984,Males,1,858652.03026
1984,Males,5,1654931.0300270002
1984,Males,10,1695015.2864940001
1984,Males,15,1687270.93041
1984,Males,20,1580792.7302940001
1984,Males,25,1397607.2956629999
1984,Males,30,1242125.131209
1984,Males,35,1222156.373828
1984,Males,40,1062024.695766
1984,Males,45,1031463.755693
1984,Males,50,1148200.805541
1984,Males,55,1033177.7877569998
1984,Males,60,876468.644874
1984,Males,65,621309.2107620001
1984,Males,70,530969.964407
1984,Males,75,370482.48326199997
1984,Males,80,200531.634834
1984,Males,85,70859.04521600001
1984,Males,90,18253.435999999998
